"季度","縣市","地區","品項定位","款式","銷售總金額"
"第二季","雲林縣","一般縣市","特定性別","一般款",1463.7
"第二季","雲林縣","一般縣市","特定性別","自動扣",1396.5
"第二季","雲林縣","一般縣市","特定性別","針棒",3478.125
"第二季","高雄市","直轄市","中性","一般款",9969.75
"第二季","高雄市","直轄市","中性","自動扣",5516.175
"第二季","高雄市","直轄市","中性","針棒",7522.2
"第二季","高雄市","直轄市","特定性別","一般款",4874.1
"第二季","高雄市","直轄市","特定性別","自動扣",6144.6
"第二季","高雄市","直轄市","特定性別","針棒",9182.25
"第四季","南投縣","一般縣市","中性","一般款",1043.7
"第四季","南投縣","一般縣市","中性","自動扣",2304.225
"第四季","南投縣","一般縣市","中性","針棒",2089.5
"第四季","南投縣","一般縣市","特定性別","一般款",1741.95
"第四季","南投縣","一般縣市","特定性別","自動扣",279.3
"第四季","南投縣","一般縣市","特定性別","針棒",973.875
"第四季","台中市","直轄市","中性","一般款",14838.6
"第四季","台中市","直轄市","中性","自動扣",8588.475
"第四季","台中市","直轄市","中性","針棒",13790.7
"第四季","台中市","直轄市","特定性別","一般款",10792.425
"第四季","台中市","直轄市","特定性別","自動扣",6982.5
"第四季","台中市","直轄市","特定性別","針棒",10851.75
"第四季","台北市","直轄市","中性","一般款",8915.025
"第四季","台北市","直轄市","中性","自動扣",2513.7
"第四季","台北市","直轄市","中性","針棒",7731.15
"第四季","台北市","直轄市","特定性別","一般款",5711.475
"第四季","台北市","直轄市","特定性別","自動扣",5586
"第四季","台北市","直轄市","特定性別","針棒",6538.875
"第四季","台南市","直轄市","中性","一般款",7731.675
"第四季","台南市","直轄市","中性","自動扣",4817.925
"第四季","台南市","直轄市","中性","針棒",8358
"第四季","台南市","直轄市","特定性別","一般款",4737.6
"第四季","台南市","直轄市","特定性別","自動扣",4468.8
"第四季","台南市","直轄市","特定性別","針棒",6956.25
"第四季","台東縣","一般縣市","中性","一般款",977.025
"第四季","台東縣","一般縣市","中性","針棒",835.8
"第四季","台東縣","一般縣市","特定性別","一般款",765.45
"第四季","台東縣","一般縣市","特定性別","自動扣",279.3
"第四季","台東縣","一般縣市","特定性別","針棒",834.75
"第四季","嘉義縣","一般縣市","中性","一般款",905.625
"第四季","嘉義縣","一般縣市","中性","自動扣",1396.5
"第四季","嘉義縣","一般縣市","中性","針棒",1880.55
"第四季","嘉義縣","一般縣市","特定性別","一般款",1463.175
"第四季","嘉義縣","一般縣市","特定性別","自動扣",1117.2
"第四季","嘉義縣","一般縣市","特定性別","針棒",1530.375
"第四季","基隆市","一般縣市","中性","一般款",1045.8
"第四季","基隆市","一般縣市","中性","自動扣",279.3
"第四季","基隆市","一般縣市","中性","針棒",1253.7
"第四季","基隆市","一般縣市","特定性別","一般款",556.5
"第四季","基隆市","一般縣市","特定性別","針棒",417.375
"第四季","宜蘭縣","一般縣市","中性","一般款",1880.55
"第四季","宜蘭縣","一般縣市","中性","自動扣",628.425
"第四季","宜蘭縣","一般縣市","中性","針棒",3761.1
"第四季","宜蘭縣","一般縣市","特定性別","一般款",626.325
"第四季","宜蘭縣","一般縣市","特定性別","自動扣",558.6
"第四季","宜蘭縣","一般縣市","特定性別","針棒",2226
"第四季","屏東縣","一般縣市","中性","一般款",3413.55
"第四季","屏東縣","一般縣市","中性","自動扣",2583.525
"第四季","屏東縣","一般縣市","中性","針棒",2925.3
"第四季","屏東縣","一般縣市","特定性別","一般款",1739.85
"第四季","屏東縣","一般縣市","特定性別","自動扣",1117.2
"第四季","屏東縣","一般縣市","特定性別","針棒",2086.875
